Title,Artist,Top Genre,BPM,Energy,Dance
Losing It,FISHER,australian house,125,96,76
Bangarang (feat. Sirah),Skrillex,brostep,110,97,72
Stop It,FISHER,australian house,124,82,86
Kill V. Maim,Grimes,art pop,134,95,58
Solar System,Sub Focus,dancefloor dnb,174,94,54
RWEOK?,Disco Lines,stutter house,127,94,67
dashstar*,Knock2,bassline,126,95,70
I Found You (feat. Hayla),Sub Focus,dancefloor dnb,174,87,48
Tidal Wave,Sub Focus,dancefloor dnb,174,87,52
Off The Ground,Sub Focus,dancefloor dnb,174,80,57
One Chance,Knock2,bassline,126,86,66
Ecstasy Of Soul,Zeds Dead,brostep,150,90,38
Leave Me Like This,Skrillex,brostep,125,96,68
Collapse (feat. Memorecks),Zeds Dead,brostep,135,76,45
back2u,Disco Lines,stutter house,128,90,63
The Prince,Madeon,complextro,95,78,61
Technicolor,Madeon,complextro,127,81,54
Violence - Original Mix,Grimes,art pop,100,90,53
