Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
1,back2u,Disco Lines,2024-05-10,128,90,63,-6,19,2:39,7,49,1,6711
2,RWEOK?,Disco Lines,2023-07-28,127,94,67,-5,10,2:27,2,59,11,6773
3,One Chance,Knock2,2023-07-07,126,86,66,-5,21,3:41,11,55,2,7136
4,dashstar*,Knock2,2021-02-05,126,95,70,-3,19,3:18,1,59,12,9326
5,Collapse (feat. Memorecks),Zeds Dead,2014-07-01,135,76,45,-6,27,4:44,11,45,3,6436
6,Ecstasy Of Soul,Zeds Dead,2022-12-14,150,90,38,-2,13,3:58,2,53,13,7356
7,how2fly,ISOxo,2023-10-20,140,95,56,-3,5,4:02,6,52,4,383
8,kidsgonemad!,ISOxo,2023-10-20,150,100,52,-2,28,2:05,0,47,14,2768
9,I Found You (feat. Hayla),Sub Focus,2023-05-12,174,87,48,-3,10,2:57,16,58,0,48
10,Tidal Wave,Sub Focus,2013-01-01,174,87,52,-5,51,3:49,4,55,9,1677
11,Kill V. Maim,Grimes,2015-11-06,134,95,58,-2,46,4:06,1,62,5,7472
12,Violence - Original Mix,Grimes,2019-10-31,100,90,53,-5,8,3:41,0,29,15,7605
13,Solar System,Sub Focus,2019-07-26,174,94,54,-3,30,4:48,4,62,10,1615
14,Off The Ground,Sub Focus,2023-05-12,174,80,57,-4,6,4:03,3,54,19,8890
15,Losing It,FISHER,2018-07-13,125,96,76,-6,64,4:08,0,72,6,6820
16,Stop It,FISHER,2017-11-10,124,82,86,-7,88,2:44,2,66,16,8196
17,The Prince,Madeon,2020-08-14,95,78,61,-6,30,3:43,0,43,7,3192
18,Technicolor,Madeon,2015-03-30,127,81,54,-3,7,6:25,0,37,17,7236
19,Leave Me Like This,Skrillex,2023-02-17,125,96,68,-2,34,3:09,0,54,8,1399
20,Bangarang (feat. Sirah),Skrillex,2011-12-27,110,97,72,-2,58,3:35,1,69,18,3456
